Symbol,Open,High,Low,Close
AAPL,171.4800,171.5700,171.4500,171.5500
AAPL,171.4400,171.5000,171.4000,171.4800
AAPL,171.4000,171.5000,171.3700,171.4500
AAPL,171.4000,171.4500,171.3500,171.4400
AAPL,171.3600,171.4800,171.3500,171.4300
AAPL,171.5100,171.5600,171.2700,171.4500
AAPL,171.5600,171.5700,171.5000,171.5100
AAPL,171.4500,171.5800,171.4200,171.5600
AAPL,171.4000,171.5000,171.4000,171.4500
AAPL,171.4400,171.4500,171.3500,171.3500
AAPL,171.4900,171.5500,171.3400,171.4000
AAPL,171.3200,171.5000,171.3200,171.4800
AAPL,171.3000,171.3500,171.2500,171.3300
AAPL,171.2500,171.3000,171.2000,171.3000
AAPL,171.3600,171.3900,171.2000,171.2500
AAPL,171.3500,171.3900,171.3300,171.3800
AAPL,171.3500,171.3700,171.2600,171.3500
AAPL,171.5100,171.5200,171.2500,171.3200
AAPL,171.5400,171.5600,171.5000,171.5150
AAPL,171.5400,171.5400,171.5000,171.5300
AAPL,171.5350,171.5600,171.5350,171.5400
AAPL,171.5400,171.5600,171.5100,171.5500
AAPL,171.5600,171.6000,171.5000,171.5600
AAPL,171.5900,171.6300,171.5300,171.5700
AAPL,171.5900,171.6300,171.5600,171.6300
AAPL,171.6000,171.6300,171.5500,171.6000
AAPL,171.5900,171.6000,171.5300,171.5750
AAPL,171.5100,171.5900,171.4700,171.5400
AAPL,171.6600,171.6800,171.5100,171.5100
AAPL,171.5600,171.7000,171.5500,171.6700
AAPL,171.6600,171.6800,171.5600,171.5700
AAPL,171.6500,171.7000,171.6000,171.6100
AAPL,171.5900,171.6600,171.5800,171.6500
AAPL,171.5500,171.6000,171.5100,171.5900
AAPL,171.4000,171.6000,171.3900,171.5200
AAPL,171.4200,171.5000,171.3000,171.4700
AAPL,171.4600,171.6800,171.3500,171.4300
AAPL,171.4500,171.5700,171.3500,171.4200
AAPL,171.7000,171.7400,171.4300,171.4500
AAPL,171.4500,171.8000,171.4000,171.7300
AAPL,171.5800,171.6200,171.3500,171.4900
AAPL,171.6000,171.7000,171.5200,171.6300
AAPL,171.6200,171.6500,171.5300,171.5800
AAPL,171.8300,171.8300,171.6200,171.6690
AAPL,171.9000,171.9000,171.7950,171.8000
AAPL,172.0700,172.1200,171.8000,171.8000
AAPL,172.2500,172.2500,172.0000,172.0700
AAPL,172.3100,172.3100,172.2100,172.2500
AAPL,172.3500,172.3800,172.2400,172.3100
AAPL,172.2900,172.4000,172.2400,172.3500
AAPL,172.2000,172.3000,172.1500,172.2850
AAPL,172.1800,172.2000,172.1400,172.2000
AAPL,172.1600,172.3000,172.1200,172.2000
AAPL,172.1400,172.1900,172.0300,172.1300
AAPL,172.1400,172.2750,172.0000,172.1500
AAPL,172.1400,172.2000,172.0300,172.1400
AAPL,172.1700,172.2600,172.0000,172.1400
AAPL,172.1800,172.3000,172.1500,172.1600
AAPL,172.1500,172.3000,172.1200,172.2000
AAPL,172.1600,172.3600,172.1000,172.1500
AAPL,172.2300,172.3000,172.1100,172.2900
AAPL,172.5000,172.5500,172.1700,172.1800
AAPL,172.6100,172.6400,172.4800,172.4800
AAPL,172.5500,172.6600,172.5500,172.6400
AAPL,172.6900,172.6900,172.5500,172.5800
AAPL,172.7000,172.7400,172.6000,172.6000
AAPL,172.7900,172.7900,172.6000,172.7000
AAPL,172.9000,172.9000,172.7500,172.7500
AAPL,172.7100,172.9000,172.7100,172.9000
AAPL,172.7200,172.7900,172.5900,172.7100
AAPL,172.6900,172.8100,172.6700,172.7400
AAPL,172.5900,172.7000,172.5800,172.7000
AAPL,172.5900,172.5900,172.5300,172.5800
AAPL,172.5500,172.6300,172.5100,172.5900
AAPL,172.7000,172.7400,172.5200,172.5200
AAPL,172.7000,172.7500,172.6100,172.7400
AAPL,172.8300,172.8300,172.6100,172.6650
AAPL,172.7500,172.8400,172.5500,172.7600
AAPL,172.9200,172.9200,172.7500,172.7500
AAPL,173.0650,173.0650,172.8000,172.9200
AAPL,172.9500,173.1100,172.9500,173.0900
AAPL,172.8700,172.9600,172.8310,172.9500
AAPL,172.7590,172.8650,172.7150,172.8600
AAPL,172.7400,172.7500,172.7100,172.7400
AAPL,172.5700,172.7500,172.5100,172.7500
AAPL,172.5900,172.6000,172.5100,172.5700
AAPL,172.6200,172.6500,172.5700,172.6000
AAPL,172.7300,172.7500,172.6300,172.6300
AAPL,172.6700,172.7200,172.6000,172.7100
AAPL,172.7700,172.7900,172.6500,172.6600
AAPL,172.7500,172.7900,172.7300,172.7750
AAPL,172.7200,172.8000,172.7000,172.7500
AAPL,172.7800,172.9000,172.7100,172.7400
AAPL,172.7000,172.8700,172.7000,172.7800
AAPL,172.4500,172.7400,172.4500,172.7000
AAPL,172.3700,172.4500,172.3700,172.4200
AAPL,172.3800,172.4800,172.3000,172.3700
AAPL,172.3000,172.4100,172.2900,172.3600
AAPL,172.3000,172.4400,172.2700,172.3000
AAPL,172.3000,172.4200,172.2700,172.3000
